Date,Momentum,BXM Level (Volatility),Mkt-RF,SMB,HML,RF,Last_Price (High Yield Credit Spread),Credit Spread Investment Grade
3/31/1996,0.15,287.18,-0.21,1.16,-0.13,0.019,3.51,141.3
4/30/1996,0.13,295.53,0.03,0.12,0.13,0.022,3.29,124
5/31/1996,0.04,301.29,-0.18,0.82,-0.38,0.019,3.16,112.8
6/30/1996,0.6,305.78,0.72,1.14,-0.25,0.02,3.3,114.9
7/31/1996,0.19,298.76,0.73,0.12,-0.41,0.02,3.38,109.6
8/31/1996,0.03,302.71,-0.63,0.62,0.21,0.019,3.17,109.7
9/30/1996,0.02,314.27,0.2,0,0.21,0.022,3.04,112.7
10/31/1996,0.36,318.18,0.63,0.09,-0.43,0.018,3.45,119.1
11/30/1996,0,327.43,0.27,0.23,-0.11,0.02,3.5,127.9
12/31/1996,-0.22,324.86,-1.02,2.05,-0.24,0.022,3.04,117.2
1/31/1997,0.22,339,0.31,0.01,-0.35,0.02,2.92,116.6
2/28/1997,-0.63,342.11,-0.49,0.04,0.15,0.02,2.71,114.8
3/31/1997,-0.76,336.25,-2.26,0.66,1.06,0.021,3.04,105.7
4/30/1997,-0.3,346.92,0.93,-0.43,-0.44,0.02,3.1,116.2
5/31/1997,0.07,352.25,0.55,-0.3,0.51,0.023,2.8,118.1
6/30/1997,-0.24,356.84,-0.1,1.61,-0.68,0.018,2.72,118
7/31/1997,0.36,371.04,0.18,0.08,0.26,0.019,2.65,120.9
8/31/1997,0.15,370.78,-0.21,0.58,-0.17,0.02,2.56,115.1
9/30/1997,-0.33,387.01,-0.43,0.88,0.32,0.021,2.55,122.7
10/31/1997,0.41,385.48,1.17,0.12,-0.52,0.018,2.99,132.9
11/30/1997,-0.04,405.1,0.36,-0.09,-0.07,0.021,2.91,123.6
12/31/1997,-0.22,411.41,0.21,0.86,-0.23,0.022,3.14,125.8
1/31/1998,-0.07,421.69,-0.4,0.3,0.16,0.021,3.05,145.5
2/28/1998,-0.13,431.7,0.05,0.06,0.22,0.021,3,141.8
3/31/1998,0.65,436.52,0.77,0.07,-0.22,0.018,2.92,139.6
4/30/1998,0.63,447.53,1.47,-0.26,-0.44,0.02,3.11,137.9
5/31/1998,0.46,451.45,-0.42,0.64,0.47,0.02,3.37,137.8
6/30/1998,-0.07,468.26,-0.2,0.87,-0.13,0.019,3.63,141.4
7/31/1998,-0.22,454.08,-1.87,-0.27,0.41,0.018,3.57,144.6
8/31/1998,-0.87,400.38,-6.71,-0.19,2.43,0.02,5.48,189.4
9/30/1998,0.42,430.75,-2.58,2.35,0.17,0.022,6.03,226
10/31/1998,-0.85,459.65,1.22,-0.8,0.71,0.015,6.49,235.5
11/30/1998,0.37,468.05,-2.31,1.21,0.72,0.015,5.62,205.6
12/31/1998,-1.97,489.37,0.43,1.85,0.06,0.017,5.88,216.2
1/31/1999,0.42,507.22,0.95,0.19,-0.6,0.019,5.59,211.9
2/28/1999,-0.32,518.05,-0.49,0.03,0.45,0.019,5.26,185.3
3/31/1999,0.25,524.47,-0.86,-0.01,0.22,0.018,5.24,194.8
4/30/1999,-0.09,546.25,-0.47,0.69,-0.4,0.018,4.82,190.2
5/31/1999,0.53,547.86,1.53,-0.07,-0.66,0.017,5.05,187
6/30/1999,1.2,578.71,1.6,1.01,-1.48,0.018,5.18,189
7/31/1999,0.5,559.35,-0.72,1.54,-0.19,0.018,5.03,188.7
8/31/1999,0.85,562.22,-0.17,0.26,-0.12,0.018,5.26,191
9/30/1999,0.33,563.39,0.92,0.36,-0.86,0.018,5.65,196.3
10/31/1999,1.05,569.57,1.73,-1.01,-0.38,0.018,5.74,183.6
11/30/1999,-0.43,567.01,-1.28,-0.23,1.33,0.017,5.47,170.9
12/31/1999,0.37,592.96,0.52,1.32,0.33,0.02,5.1,162.8
1/31/2000,-0.32,584.86,1.5,-2.86,-0.41,0.021,5.26,148.5
2/29/2000,1.86,582.06,1.96,1.97,-0.71,0.022,5.49,166.1
3/31/2000,1.46,610.47,1.19,0.27,0.02,0.02,6.49,200.6
4/30/2000,1.2,610.1,0.07,2.33,-0.08,0.024,6.51,197.8
5/31/2000,0.11,615.54,-0.22,0.05,0.53,0.023,6.71,212.8
6/30/2000,0.38,627.23,0.74,1.84,-1.51,0.018,6.6,213.9
7/31/2000,0.52,626.63,1.03,0.77,-0.41,0.024,6.64,201.9
8/31/2000,1.2,661.37,1.19,0.16,-0.66,0.022,6.93,229.5
9/30/2000,-0.87,649.8,-1.26,0.7,1.28,0.025,7.06,230.8
10/31/2000,0.83,645.19,2.75,0.59,-1.66,0.025,7.9,235.9
11/30/2000,1.36,626.49,-2.03,-0.67,1.5,0.024,9.11,248.2
12/31/2000,-0.01,636.81,-1.23,-0.21,1.45,0.025,9.34,272.8
1/31/2001,0.55,659.12,-0.72,0.41,0.28,0.026,7.4,252.6
2/28/2001,1.09,621.95,-1.48,0.44,0.81,0.02,7.37,276.4
3/31/2001,0.12,586.98,1.19,1.66,-0.6,0.019,7.62,276.3
4/30/2001,-1.11,604.32,0.03,0.73,-0.51,0.02,7.62,255.2
5/31/2001,-0.55,612.59,0.73,-0.29,-0.16,0.015,6.78,246.9
6/30/2001,-1.02,603.3,0.35,2.45,-0.89,0.013,7.3,236.8
7/31/2001,0.14,613,0.5,-0.51,0.12,0.014,7.35,246.6
8/31/2001,-0.83,589.6,0.42,-0.39,0.29,0.013,7.35,254.8
9/30/2001,-0.5,527.63,2.25,0.4,0.51,0.018,9.18,312.2
10/31/2001,-0.99,534.45,0.18,1.36,-0.22,0.01,9.03,310.8
11/30/2001,0.22,553.12,-0.14,-0.2,0.29,0.008,8.08,283.8
12/31/2001,-0.24,567.25,-1.04,0.21,0.78,0.007,7.41,256.9
1/31/2002,0.34,572.34,1.35,-0.59,0.23,0.007,7.07,241.7
2/28/2002,0.18,571.86,-0.31,-0.27,0.53,0.007,7.45,247.3
3/31/2002,-0.42,585.55,0.29,-0.16,0.31,0.007,6.39,228
4/30/2002,0.06,561.91,1.2,0.54,0.12,0.007,6.22,238.53
5/31/2002,0.6,566.18,0.19,-0.16,0.22,0.007,6.51,228.73
6/30/2002,-0.18,535.6,0.12,0.08,1.82,0.006,7.64,246.35
7/31/2002,0.49,490.95,0.65,-2.54,0.03,0.007,9.08,262.12
8/31/2002,1.45,498.27,-0.28,-0.41,0.89,0.006,9.17,273.91
9/30/2002,0.17,461.67,-1.28,1.46,-0.42,0.007,10.01,308.58
10/31/2002,-0.89,495.91,-0.41,0.26,0.37,0.006,10.13,308.75
11/30/2002,-0.46,523.05,-0.32,-0.66,0.52,0.006,8.36,270.48
12/31/2002,-0.78,523.92,0.12,0.03,0.61,0.005,8.26,287.4
1/31/2003,0.8,521.21,1.28,-0.3,0.26,0.005,7.51,273.75
2/28/2003,-0.47,517.03,0.41,-0.69,0.21,0.005,7.63,283.03
3/31/2003,0.82,517.2,-1.65,0.75,0.44,0.005,6.84,267.4
4/30/2003,-0.35,554.32,0.03,0.76,0.28,0.005,5.65,246.41
5/31/2003,-0.44,563.76,1.53,0.24,0.07,0.004,6.05,259.01
6/30/2003,-0.03,561.31,-0.17,-0.12,0.42,0.005,5.32,253.67
7/31/2003,-0.29,575.15,0.32,0.26,0.4,0.003,4.73,231.45
8/31/2003,0.12,591.63,0.53,-0.31,0.34,0.003,4.51,209.64
9/30/2003,-0.78,580.58,-0.96,-0.05,0.15,0.004,4.49,217.24
10/31/2003,-0.58,607.46,0.28,-0.54,-0.09,0.003,3.8,201.73
11/30/2003,0.59,614.81,0.11,0.27,-0.15,0.004,3.56,193.84
12/31/2003,-0.16,625.38,0.01,-1.39,0.03,0.004,3.15,194.45
1/31/2004,0.59,628.13,-0.15,0.3,0.38,0.003,2.99,189.81
2/29/2004,0.31,636.5,0.11,0.19,0.36,0.003,3.28,199.89
3/31/2004,-0.07,635.58,0,0.13,0.17,0.004,3.38,207.52
4/30/2004,-0.57,634,-0.66,-0.83,-0.02,0.004,3,186.47
5/31/2004,0.11,638.81,0.02,-0.02,0.1,0.003,3.48,180.32
6/30/2004,0.47,651.89,0.48,0.11,0.3,0.004,3.42,173.94
7/31/2004,0.54,641.08,0.14,0.21,-0.32,0.005,3.38,174.53
8/31/2004,0.71,647.43,0.48,0.04,0.14,0.005,3.43,184.33
9/30/2004,0.99,652.69,0.06,0.1,0.52,0.005,3.24,177.06
10/31/2004,0.24,658.65,0.18,-0.53,0.25,0.005,3.07,177.65
11/30/2004,0.61,660.36,-0.37,0.17,0.11,0.007,2.6,163.08
12/31/2004,0.04,677.26,-0.14,-0.01,0.2,0.007,2.54,155.18
1/31/2005,0.7,673.89,0.97,0.78,0.16,0.008,2.86,142.2
2/28/2005,0.19,681.95,-0.61,0.27,0.04,0.009,2.41,128.34
3/31/2005,0.87,679.93,0,-0.05,0.64,0.01,3.24,120.85
4/30/2005,0.07,673.75,1.04,-0.4,-0.04,0.01,3.91,129.24
5/31/2005,0.53,687.39,-0.49,0.47,0.28,0.011,3.91,138.9
6/30/2005,0.28,682.81,-0.63,0.2,0.27,0.01,3.81,136.7
7/31/2005,0.23,703.28,-0.66,0.23,0.11,0.012,3.23,121.4
8/31/2005,0.92,710.87,1.1,0.72,-0.06,0.013,3.66,126.63
9/30/2005,0.16,720.96,0.2,0.32,-0.17,0.014,3.61,129.6
10/31/2005,0.32,705.77,0.96,0.8,0.04,0.013,3.68,130.94
11/30/2005,0.23,707.28,-0.43,1.14,-0.15,0.015,3.82,132.6
12/31/2005,-0.04,706.04,-0.5,-0.22,0.26,0.015,3.86,134.89
1/31/2006,0.23,720.52,-0.21,0.61,-0.03,0.017,3.56,136.48
2/28/2006,-0.37,727.87,-1.1,-0.21,0.06,0.018,3.55,123.9
3/31/2006,0.09,735.49,-0.23,0.69,-0.05,0.016,3.28,129.28
4/30/2006,-0.25,745.76,0.05,0.14,0.52,0.019,3.09,129.95
5/31/2006,0.81,730.85,0.94,0.36,0.37,0.02,3.18,129.14
6/30/2006,0.58,740.51,-0.02,1.13,0.13,0.018,3.44,128.36
7/31/2006,0.68,752.51,-0.09,0.26,-0.1,0.02,3.53,130.06
8/31/2006,0.13,761.58,0.03,0,0.23,0.018,3.6,134.42
9/30/2006,0.07,772.94,-0.33,-0.63,0.25,0.02,3.54,124.24
10/31/2006,0.02,782.2,-0.07,-0.34,-0.11,0.018,3.42,120.19
11/30/2006,-0.3,793.48,0.11,0.13,0.21,0.02,3.37,119.19
12/31/2006,-0.1,800.16,-0.51,-0.27,-0.03,0.02,3,121.78
1/31/2007,-0.13,815.39,0.64,-0.42,0.02,0.022,2.8,118.2
2/28/2007,0.5,805.1,0.47,-0.51,0.36,0.02,2.88,119.43
3/31/2007,0.11,807.02,-0.07,0.27,-0.05,0.019,2.95,134.57
4/30/2007,0.02,812.77,-0.93,-0.92,0.03,0.022,2.85,129.78
5/31/2007,-0.22,831.12,0.13,0.35,-0.3,0.018,2.59,124.21
6/30/2007,0.41,830.27,-0.19,-0.35,0.11,0.019,3.08,124.56
7/31/2007,0.19,812.71,-1.19,0.32,-0.03,0.019,4.34,152.12
8/31/2007,0.21,821.76,1.12,0.05,-0.07,0.018,4.55,170.08
9/30/2007,-0.11,833.07,-0.37,-0.54,0.03,0.017,4.05,165.35
10/31/2007,0.67,853.26,1.23,0.04,-0.12,0.014,4.25,159.92
11/30/2007,-1.43,837.41,0.7,-0.62,0.86,0.016,5.54,205.21
12/31/2007,-0.79,852.88,-0.65,0.02,0.41,0.014,5.62,208.68
1/31/2008,-1.69,802.38,1.66,0.83,0.46,0.01,6.45,252.69
2/29/2008,1.03,809.97,-2.64,0.12,-0.17,0.007,7.07,264.08
3/31/2008,-0.88,823.41,0.57,0.03,0.59,0.009,7.45,281.04
4/30/2008,0.82,843.24,-0.3,-0.12,0.09,0.008,6.29,252.21
5/31/2008,0.45,853.76,0.29,0.26,0,0.008,6,235.05
6/30/2008,1.91,802.62,-0.07,-1.22,0.31,0.008,6.92,240.1
7/31/2008,-0.94,802.95,-1.16,0.62,0.36,0.007,7.48,258.38
8/31/2008,-0.47,818.05,-1.25,0.23,0.64,0.006,7.75,260.84
9/30/2008,-2.67,770.79,4.88,-3.68,2.88,0.007,10.09,317.66
10/31/2008,-0.41,655.08,1.88,2.26,1.97,0.004,14.72,411.7
11/30/2008,-2.42,585.21,1.06,-0.66,1.91,0.001,18.91,439
12/31/2008,-1.84,608.49,1.7,1.53,0.75,0,17.22,408.77
1/31/2009,1.82,585.07,-2.16,0.22,-1.22,0,15.03,376.97
2/28/2009,2.31,547.99,-2.01,1.8,-2.13,0.001,16.03,357.69
3/31/2009,-1.6,592.75,1.29,-0.56,1.55,0.001,15.46,397.71
4/30/2009,-2.58,615.12,-0.04,-0.43,-0.64,0.001,12.01,364.13
5/31/2009,-0.62,642.67,1.38,0.55,-0.2,0,10.25,306.06
6/30/2009,0.03,655.38,-0.74,0.25,-0.18,0,8.75,257.74
7/31/2009,-1.23,686.54,0.05,-0.16,1.27,0.001,8.04,229.04
8/31/2009,0.83,695.88,-0.86,-0.47,-0.63,0.001,7.92,218.25
9/30/2009,0.63,708.99,-0.4,-0.55,-0.63,0,7,213.47
10/31/2009,-0.23,704.97,-2.8,-0.08,-1.87,0,6.64,218.72
11/30/2009,-0.18,746.92,0.28,-0.39,0.75,0,6.57,233.22
12/31/2009,0.05,766.18,-0.99,-0.2,0.32,0,5.22,200.32
1/31/2010,-1.23,734.77,-0.97,-0.04,-0.44,0,5.38,212.56
2/28/2010,0.41,762.78,0.13,-0.55,0.39,0,5.54,211.83
3/31/2010,-0.14,774.49,-0.36,-0.49,0.16,0,4.64,202.43
4/30/2010,-1.11,772.73,-1.72,-0.96,-0.92,0.001,4.46,192.68
5/31/2010,-0.33,725.23,-1.18,0.05,-0.64,0.001,6,224.78
6/30/2010,-0.37,695.03,-0.98,0.04,-0.36,0.001,6.23,225.89
7/31/2010,0.17,741.15,0.06,0.04,-0.21,0.001,5.43,225.48
8/31/2010,0.48,739.55,0.01,-0.26,0.76,0.001,5.99,231.17
9/30/2010,-0.54,767.23,-0.26,0.04,0.29,0.001,5.29,242.02
10/31/2010,0.14,776.79,0.07,0.32,-0.1,0.001,4.68,259.07
11/30/2010,0.08,784.58,-0.59,-0.21,-0.03,0.001,5.1,245.32
12/31/2010,-0.15,811.07,-0.1,-0.64,0.23,0.001,4.22,210.65
1/31/2011,0.63,819.71,0.71,0,-0.27,0,3.65,219.96
2/28/2011,-0.23,829.13,0.42,-0.44,0.27,0.001,3.41,205.28
3/31/2011,0.22,823.1,-0.11,0.58,-0.32,0,3.55,206.97
4/30/2011,0.66,840.74,0.29,0.21,-0.05,0,3.46,217.15
5/31/2011,0.25,845.96,1.04,0.42,-0.05,0,3.76,216.16
6/30/2011,0.4,830.71,0.99,0.18,-0.24,0,4.16,225.67
7/31/2011,0.12,824.64,-0.56,0.23,0.12,0,4.35,238.86
8/31/2011,-0.34,765.89,0.42,-0.74,0.26,0,6.29,254.1
9/30/2011,0.69,738.32,-2.5,-0.17,-0.08,0,7.59,259.46
10/31/2011,2.23,812.26,-2.5,0.05,-0.79,0,6.09,245.67
11/30/2011,-1.88,831.02,4.44,1.04,1.07,0,6.8,234.2
12/31/2011,-0.66,857.46,-0.4,-0.07,-0.15,0,6.48,242.38
1/31/2012,0.24,869.31,-0.05,-0.06,0.03,0,5.72,251.25
2/29/2012,0.68,886.4,-0.55,-1.03,0.22,0,5.02,231.05
3/31/2012,-0.16,900.28,0.28,-0.7,-0.06,0,5.02,229.12
4/30/2012,-0.24,904.91,-0.49,-0.6,0.09,0,5.16,247.1
5/31/2012,0.2,866.76,-0.23,0.15,0.56,0,6.32,259.38
6/30/2012,-1.16,898.44,2.55,0.39,-0.71,0,5.71,242.51
7/31/2012,-0.06,908.92,-0.47,0,0.27,0,5.42,238.02
8/31/2012,-0.44,917.53,0.52,-0.07,0.01,0,5.19,238.16
9/30/2012,-0.08,925.17,-0.46,-0.31,-0.23,0,4.88,228.65
10/31/2012,-0.16,918.43,0.14,0.52,0.33,0,4.8,222.81
11/30/2012,0.07,900.9,0.02,-0.14,0.28,0,4.83,229.44
12/31/2012,0.24,902.09,1.71,0.42,-0.06,0.001,4.37,220.26
1/31/2013,-0.36,921.91,-0.08,0.68,0.21,0,3.89,225.52
2/28/2013,0.31,925.63,-0.05,0.09,-0.16,0,3.9,227.78
3/31/2013,0.5,945.6,0.39,-0.27,-0.28,0,3.82,235.14
4/30/2013,-0.78,959.99,0.29,0.38,-0.06,0,3.54,230.34
5/31/2013,-0.26,955.98,-1.31,0.51,-0.25,0,3.58,222.18
6/30/2013,-0.41,946,-0.33,0.32,-0.11,0,4.17,225.43
7/31/2013,0.62,958.33,0.09,0.17,0.1,0,3.53,209.24
8/31/2013,-0.45,946.29,-0.47,-1.14,-0.21,0,3.58,196.61
9/30/2013,0.26,953.72,-0.49,0.51,0.05,0,3.62,211.91
10/31/2013,0.37,987.9,-0.34,-0.09,-0.42,0,3.09,211.31
11/30/2013,-0.2,1001.12,-0.02,0.29,-0.16,0,2.86,203.55
12/31/2013,0.06,1021.68,0.44,-0.17,0.04,0,2.61,180.18
1/31/2014,0.11,1001.59,-0.66,-0.05,-0.41,0,3,193.6
2/28/2014,-0.29,1043.94,0.15,-0.7,0.82,0,2.49,187.24
3/31/2014,0.68,1046.66,0.97,0.99,-0.15,0,2.51,175.29
4/30/2014,0.54,1057.22,0.35,0.22,-0.01,0,2.39,176.05
5/31/2014,-0.02,1077.18,0.06,-0.67,0.26,0,2.51,175.41
6/30/2014,0.12,1079.55,0.07,0.26,0.19,0,2.38,177.5
7/31/2014,-0.68,1077.25,-2.03,-0.2,0.45,0,3.13,169.94
8/31/2014,0.05,1105.74,0.39,0.28,0.1,0,2.86,174.69
9/30/2014,-0.16,1088.24,-0.4,-1,0.14,0,3.63,174.31
10/31/2014,-0.04,1069.6,1.23,0.29,0.2,0,3.49,181.47
11/30/2014,1.23,1067.06,-0.35,-0.91,-1.02,0,3.96,196.6
12/31/2014,-0.48,1079.29,-0.93,0.49,-0.38,0,4.44,180.88
1/31/2015,-2.64,1064.1,-1.3,-0.77,0.04,0,4.82,193.93
2/28/2015,-0.21,1093.68,-0.36,-0.21,0.21,0,3.89,182.7
3/31/2015,-0.23,1097.55,-0.75,0.42,0.36,0,4.26,188.69
4/30/2015,-1.15,1113.32,-1.11,-1.07,0.75,0,3.92,194.06
5/31/2015,0.12,1123.71,-0.58,0.03,0.07,0,3.8,208.86
6/30/2015,0.69,1118.86,0.33,0.32,-0.66,0,4.22,208.43
7/31/2015,1.25,1150.16,-0.15,0.82,-1.02,0,4.69,217.99
8/31/2015,-1.8,1094.46,-0.74,0.76,1.41,0,5.04,221.87
9/30/2015,0.36,1092.2,1.88,-0.42,-0.49,0,6,227.04
10/31/2015,-1.05,1138.79,-0.41,0.22,-0.54,0,5.27,224.79
11/30/2015,-0.67,1145.17,-0.47,0.14,0.68,0,5.8,217.64
12/31/2015,-0.97,1135.87,-0.92,-0.24,0.23,0,6.47,219.06
1/31/2016,-1.2,1087.55,2.57,0.46,0.39,0,7.25,241.91
2/29/2016,-0.8,1105.6,-0.69,0.66,0.26,0.001,7.31,251.59
3/31/2016,-1.1,1127.39,-0.11,0.44,-0.48,0.001,6.44,226.99
4/30/2016,0.67,1132.38,-0.5,-0.15,0.42,0,5.54,213.67
5/31/2016,-0.63,1150.23,-0.01,0.51,-0.37,0.001,5.46,211.72
6/30/2016,0.7,1163.51,1.42,0.35,0.45,0.001,5.81,222.39
7/31/2016,0.15,1172.74,0.17,-0.01,0.03,0.001,5.26,211.69
8/31/2016,0.25,1183.87,-0.24,-0.39,0.13,0.001,4.73,198.34
9/30/2016,-0.33,1184.83,0.88,0.36,0.35,0.001,4.58,200.56
10/31/2016,0.84,1187.41,0.02,0.04,0.15,0.001,4.45,205.03
11/30/2016,-0.73,1214.79,-0.25,-0.39,2.23,0.001,4.18,180.18
12/31/2016,-0.31,1216.13,-0.52,-0.13,0.18,0.001,3.68,178.57
1/31/2017,-0.71,1243.1,0,0.88,-0.58,0.002,3.38,174.84
